Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
17753.14 ; 2.380189
17754.1 ; 2.378591
17755.07 ; 2.376946
17755.55 ; 2.376166
17756.03 ; 2.375425
17756.51 ; 2.374734
17756.99 ; 2.374097
17757.47 ; 2.373517
17757.95 ; 2.372995
17758.23 ; 2.372716
17758.5 ; 2.372464
17758.78 ; 2.37222
17759.05 ; 2.372001
17759.33 ; 2.371789
17759.6 ; 2.371598
17759.88 ; 2.371413
17760.15 ; 2.371246
17760.43 ; 2.371085
17760.7 ; 2.370938
17760.98 ; 2.370796
17761.25 ; 2.370666
17761.53 ; 2.370538
17761.8 ; 2.370422
17762.08 ; 2.370306
17762.35 ; 2.3702
17762.63 ; 2.370094
17762.9 ; 2.369995
17763.18 ; 2.369896
17763.45 ; 2.369803
17764.0 ; 2.36962
17764.55 ; 2.369445
17765.1 ; 2.369275
17765.65 ; 2.369108
17766.2 ; 2.368944
17766.74 ; 2.368785
17767.6 ; 2.368535
17768.46 ; 2.368287
17770.18 ; 2.367796
17773.61 ; 2.366826
17777.04 ; 2.365865
17780.47 ; 2.364907
17787.34 ; 2.362996
17794.2 ; 2.361093
17809.03 ; 2.356984
17823.86 ; 2.352875
17853.52 ; 2.344652
17912.84 ; 2.328124
18031.47 ; 2.294912
18277.54 ; 2.224788
18523.61 ; 2.152278
19015.74 ; 2.004094
20000.0 ; 1.685032
20071.57 ; 1.660407
20107.35 ; 1.648026
20125.24 ; 1.641815
20134.19 ; 1.638703
20143.13 ; 1.635591
20147.28 ; 1.634146
20149.35 ; 1.633426
20151.42 ; 1.632705
20152.46 ; 1.632343
20153.49 ; 1.631986
20154.53 ; 1.631625
20155.05 ; 1.631445
20155.56 ; 1.631269
20156.08 ; 1.631091
20156.6 ; 1.630913
20157.12 ; 1.630736
20157.63 ; 1.630564
20158.15 ; 1.63039
20158.67 ; 1.630218
20158.93 ; 1.630133
20159.19 ; 1.630049
20159.7 ; 1.629886
20160.04 ; 1.62978
20160.37 ; 1.629678
20160.7 ; 1.629578
20161.03 ; 1.62948
20161.36 ; 1.629384
20161.69 ; 1.62929
20162.02 ; 1.629198
20162.35 ; 1.629109
20163.02 ; 1.628934
20163.68 ; 1.62877
20164.34 ; 1.628615
20165.0 ; 1.628465
20166.16 ; 1.628207
20167.32 ; 1.627939
20167.94 ; 1.627783
20168.56 ; 1.627614
20169.35 ; 1.627376
20169.87 ; 1.627204
20170.0 ; 1.627159
20170.53 ; 1.626967
20171.17 ; 1.626718
20171.73 ; 1.626486
20172.29 ; 1.626242
20173.26 ; 1.625798
20174.22 ; 1.625343
20175.35 ; 1.624806
20175.91 ; 1.624543
20176.47 ; 1.624286
20177.04 ; 1.62403
20177.6 ; 1.623785
20178.16 ; 1.623546
20178.72 ; 1.623314
20179.11 ; 1.623156
20179.49 ; 1.623005
20179.87 ; 1.622856
20180.25 ; 1.622709
20180.63 ; 1.622564
20181.01 ; 1.622421
20181.39 ; 1.62228
20181.77 ; 1.62214
20182.16 ; 1.621997
20182.54 ; 1.621859
20182.92 ; 1.621722
20183.3 ; 1.621586
20183.68 ; 1.62145
20184.06 ; 1.621315
20184.44 ; 1.62118
20184.82 ; 1.621046
20185.59 ; 1.620774
20186.35 ; 1.620506
20187.11 ; 1.620239
20187.87 ; 1.619972
20189.39 ; 1.619439
20190.91 ; 1.618906
20193.48 ; 1.618005
20196.05 ; 1.617105
20202.15 ; 1.614966
20208.25 ; 1.612826
20220.45 ; 1.608542
20244.85 ; 1.599956
20293.65 ; 1.582715
20437.49 ; 1.531213
20581.32 ; 1.478701
20868.98 ; 1.37184
21444.3 ; 1.147165
22019.62 ; 0.908538
22307.28 ; 0.7853164
22451.11 ; 0.7226321
22594.94 ; 0.6596061
22633.47 ; 0.6426643
22671.99 ; 0.6257115
22691.26 ; 0.617227
22710.52 ; 0.6087485
22720.15 ; 0.6045131
22729.78 ; 0.6002838
22739.41 ; 0.5960682
22744.23 ; 0.593968
22749.04 ; 0.5918829
22754.82 ; 0.5893998
22757.71 ; 0.5881728
22760.6 ; 0.5869605
22763.49 ; 0.5857687
22766.38 ; 0.584606
22769.27 ; 0.5834862
22770.72 ; 0.5829472
22772.16 ; 0.5824323
22773.93 ; 0.5818361
22775.7 ; 0.5812952
22777.47 ; 0.5808347
22778.35 ; 0.5806482
22779.23 ; 0.5805009
22780.12 ; 0.5804051
22781.0 ; 0.5803837
22781.88 ; 0.5804679
22782.76 ; 0.5807104
22783.21 ; 0.5809216
22783.65 ; 0.5812043
22784.09 ; 0.5815816
22784.53 ; 0.5820771
22784.97 ; 0.5827204
22785.41 ; 0.5835479
22785.85 ; 0.5846041
22786.29 ; 0.585943
22786.74 ; 0.5876719
22787.18 ; 0.5897918
22787.62 ; 0.5924259
22788.06 ; 0.5956767
22788.5 ; 0.5996603
22788.94 ; 0.6045059
22789.38 ; 0.6103546
22789.82 ; 0.6173571
22790.27 ; 0.6258766
22790.71 ; 0.635697
22791.15 ; 0.6471485
22791.59 ; 0.6603771
22792.03 ; 0.6755104
22792.47 ; 0.6926491
22792.91 ; 0.7118577
22793.35 ; 0.7331544
22793.8 ; 0.7570566
22794.24 ; 0.7823994
22795.12 ; 0.8381718
22796.88 ; 0.9606049
22797.84 ; 1.024556
22798.8 ; 1.078745
22799.36 ; 1.103472
22799.92 ; 1.121882
22800.0 ; 1.123949
22800.24 ; 1.129266
22800.47 ; 1.133088
22800.93 ; 1.136892
22801.0 ; 1.137017
22801.22 ; 1.136622
22801.43 ; 1.135137
22801.86 ; 1.128762
22802.4 ; 1.11464
22802.94 ; 1.094226
22803.75 ; 1.053522
22804.55 ; 1.004322
22807.51 ; 0.8018592
22808.25 ; 0.7577444
22808.99 ; 0.7189874
22809.36 ; 0.701762
22809.73 ; 0.6859872
22810.1 ; 0.6716421
22810.46 ; 0.6590172
22810.83 ; 0.647353
22811.2 ; 0.6369463
22811.57 ; 0.6277148
22811.94 ; 0.6195696
22812.31 ; 0.6124185
22812.68 ; 0.6061685
22813.05 ; 0.6007282
22813.41 ; 0.5961278
22813.78 ; 0.5920297
22814.15 ; 0.5884927
22814.52 ; 0.5854444
22814.89 ; 0.582819
22815.26 ; 0.5805572
22815.63 ; 0.5786063
22816.0 ; 0.57692
22816.37 ; 0.5754577
22816.74 ; 0.5741842
22817.11 ; 0.5730695
22817.48 ; 0.5720878
22817.85 ; 0.5712175
22818.59 ; 0.5697405
22819.32 ; 0.5685408
22820.06 ; 0.5675083
22820.8 ; 0.5666079
22821.54 ; 0.5658036
22822.27 ; 0.5650806
22823.75 ; 0.5637683
22825.22 ; 0.5626069
22826.97 ; 0.5613497
22828.71 ; 0.5601959
22830.46 ; 0.5591062
22832.2 ; 0.5580758
22833.95 ; 0.5570811
22835.69 ; 0.5561248
22839.18 ; 0.5542812
22842.67 ; 0.5525099
22846.16 ; 0.5507892
22849.65 ; 0.5491048
22853.13 ; 0.547452
22860.65 ; 0.5439452
22868.16 ; 0.5405032
22875.68 ; 0.5370953
22883.19 ; 0.5337164
22898.22 ; 0.5270048
22913.24 ; 0.5203433
22943.3 ; 0.5070814
